id,delinq_2yrs,earliest_cr_line,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_d,last_pymnt_amnt,next_pymnt_d,last_credit_pull_d,Finance_1.id,Finance_1.member_id,Finance_1.loan_amnt,Finance_1.funded_amnt,Finance_1.funded_amnt_inv,Finance_1.term,Finance_1.int_rate,Finance_1.installment,Finance_1.grade,Finance_1.sub_grade,Finance_1.emp_title,Finance_1.emp_length,Finance_1.home_ownership,Finance_1.annual_inc,Finance_1.verification_status,Finance_1.issue_d,Finance_1.loan_status,Finance_1.pymnt_plan,Finance_1.desc,Finance_1.purpose,Finance_1.title,Finance_1.zip_code,Finance_1.addr_state,Finance_1.dti
1066379,0,01/08/99,0,77,NA,8,0,10790,0.805,13,f,0,0,12762.81967,12762.82,12000,762.82,0,0,0,01/07/12,10731.86,,01/07/12,1066379,1300340,12000,12000,12000, 36 months,0.1349,407.17,C,C1,Quad Graphics,6 years,RENT,40000,Not Verified,01/12/11,Fully Paid,n,,debt_consolidation,Debt Consolidation,318xx,GA,15.72
1066018,0,01/10/99,2,NA,NA,7,0,11624,0.806,19,f,0,0,12024.29035,12024.29,10400,1624.29,0,0,0,01/08/14,1976.75,,01/05/16,1066018,1300151,10400,10400,10400, 36 months,0.0991,335.14,B,B1,,6 years,RENT,40000,Source Verified,01/12/11,Fully Paid,n,  Borrower added on 12/13/11 > Paying off 2 Credit Card bills...<br>,debt_consolidation,ROLL CONSOLIDATION,349xx,FL,11.67
1065842,0,01/08/02,1,NA,NA,10,0,9628,0.446,17,f,0,0,8657.784357,8657.78,7300,1357.78,0,0,0,01/08/14,1426.64,,01/05/16,1065842,1299977,7300,7300,7300, 36 months,0.1171,241.46,B,B3,Fairfax County Government,6 years,RENT,35000,Not Verified,01/12/11,Fully Paid,n,  Borrower added on 12/12/11 > Want to consolidate credit cards debts. ( Several small amounts one)<br>,debt_consolidation,freedom,201xx,VA,16.42
1065681,0,01/08/02,0,NA,NA,8,0,11546,0.962,11,f,0,0,17291.65001,17291.65,14000,3291.65,0,0,0,01/01/15,509.76,,01/12/14,1065681,1299792,14000,14000,14000, 36 months,0.1427,480.33,C,C2,Raytheon,6 years,RENT,80000,Not Verified,01/12/11,Fully Paid,n,  Borrower added on 12/11/11 > Debt consolidation loan.<br><br>  Borrower added on 12/14/11 > This loan will be consolidating 3 credit cards and a loan I received during my time in college and completing my certification course in Project Management. This loan will allow me to make one small monthly payment rather then several payments which are double the single loan payment. My degree and certification courses have given me the leverage to get promoted and and reach my financial goals. Making my Lending club Loan payments will not be an issue.<br>,debt_consolidation,Dept Consolidation,902xx,CA,16.21
1065663,0,01/06/01,0,NA,NA,8,0,9599,0.813,14,f,0,0,14960.06316,14960.06,13000,1960.06,0,0,0,01/05/14,3659.9,,01/05/16,1065663,1299774,13000,13000,13000, 36 months,0.0991,418.93,B,B1,City of Capitola,6 years,RENT,110000,Not Verified,01/12/11,Fully Paid,n,,debt_consolidation,Credit Cards,951xx,CA,8.38
1065648,0,01/10/79,0,NA,NA,10,0,45449,0.909,23,f,0,0,6126.24,6104.36,3452.36,1790.2,0,883.68,156.0204,01/10/14,154.69,,01/01/15,1065648,1299754,7000,7000,6975, 60 months,0.1171,154.69,B,B3,WA State vDSHS,6 years,MORTGAGE,69600,Verified,01/12/11,Charged Off,n,,credit_card,Debt consolidation,981xx,WA,26.22
1065513,0,01/11/00,3,NA,NA,7,0,11147,0.734,20,f,0,0,11229.37,11229.37,4677.94,4651.94,0,1899.49,18.8164,01/10/13,445.13,,01/02/14,1065513,1299629,18000,18000,18000, 60 months,0.1677,445.13,D,D2,Old Republic Home Protection,6 years,OWN,40000,Not Verified,01/12/11,Charged Off,n,  Borrower added on 12/11/11 > Personal Loan<br> Borrower added on 12/13/11 > Personal Loan<br>,home_improvement,Personal Loan,945xx,CA,18.42
1064985,0,01/03/84,2,NA,NA,13,0,46957,0.67,38,f,0,0,18898.54643,18315.43,15050,3848.55,0,0,0,01/10/13,11241.88,,01/05/16,1064985,1298830,18000,15050,14773.45751, 60 months,0.1596,365.67,C,C5,State of NC ITS,6 years,MORTGAGE,91000,Verified,01/12/11,Fully Paid,n,  Borrower added on 12/12/11 > I will be using this loan to pay off two credit cards. A Visa card that has a balance of $15.5K and an interest rate at 20.3%. The other is a retail credit card with a balance of $2.5K and at 24.4% interest. When these cards are paid off they will be cancelled. The loan will also lower my monthly payments for these debts. I am an excellent borrower and have had a loan with Lending Club for one year and been on time for all 12 payments. I have never been late on a payment of any kind in my life. I have a stable job in state government and have been in the position for over 6 years. I should be considered a very low risk borrower. <br>,credit_card,Credit Card Payoff,243xx,VA,23.41
1064924,0,01/02/06,1,NA,NA,7,0,2936,0.26,13,f,0,0,5080.284197,5080.28,4800,280.28,0,0,0,01/10/12,3731.1,,01/12/15,1064924,1298975,4800,4800,4800, 36 months,0.079,150.2,A,A4,United States Air Force,6 years,RENT,48000,Source Verified,01/12/11,Fully Paid,n,,debt_consolidation,Debt consolidation,336xx,FL,13
1064904,0,01/03/90,0,NA,NA,14,0,68319,0.749,41,f,0,0,17717.13342,17717.13,15000,2717.13,0,0,0,01/01/14,5699.63,,01/05/16,1064904,1298955,15000,15000,15000, 36 months,0.1242,501.23,B,B4,Jacobs Engineering,6 years,OWN,155000,Verified,01/12/11,Fully Paid,n,"  Borrower added on 12/12/11 > Majority of loan is to consolidate and ultimately pay off credit cards sooner, to get closer to being free from debt.  A small portion of loan will help to care for minor but important property repairs/maintenance. Job security: I have always received excellent evaluations from both supervisors and clients.<br><br>",debt_consolidation,Freedom,300xx,GA,17.85
1064805,0,01/07/86,2,NA,NA,9,0,26098,0.45,22,f,0,0,27034.77001,27006.61,24000,3034.77,0,0,0,01/01/15,759.52,,01/04/16,1064805,1298641,24000,24000,23975, 36 months,0.079,750.97,A,A4,Carrollton School,6 years,OWN,75000,Verified,01/12/11,Fully Paid,n,,debt_consolidation,Debt Consolidation Loan,330xx,FL,10.58
1064623,1,01/04/99,0,4,90,11,1,2238,0.124,25,f,0,0,6566.699998,6566.7,5600,966.7,0,0,0,01/01/15,192.37,,01/05/16,1064623,1298440,5600,5600,5600, 36 months,0.1065,182.42,B,B2,ECR Inc,6 years,RENT,60000,Not Verified,01/12/11,Fully Paid,n,,debt_consolidation,Debt Payment,950xx,CA,16.36
1064462,0,01/04/94,0,NA,91,4,1,7911,0.889,11,f,0,0,11788.23,11788.23,9900,1888.23,0,0,0,01/01/15,347.26,,01/05/16,1064462,1298274,9900,9900,9900, 36 months,0.1171,327.46,B,B3,Smartsips LLC,6 years,RENT,26400,Verified,01/12/11,Fully Paid,n,,debt_consolidation,credit payoff,432xx,OH,14.09
1063485,0,01/02/97,1,NA,NA,13,0,11947,0.244,31,f,0,0,4153.202479,4153.2,4000,153.2,0,0,0,01/08/12,1918.67,,01/09/12,1063485,1296051,4000,4000,4000, 36 months,0.0662,122.82,A,A2,Gentiva Health Services,6 years,MORTGAGE,120000,Source Verified,01/12/11,Fully Paid,n,,home_improvement,Hot tub,271xx,NC,3.89
1063197,0,01/11/04,0,NA,NA,10,0,9043,0.912,13,f,0,0,30705.06003,30705.06,24000,6705.06,0,0,0,01/12/14,889.54,,01/04/15,1063197,1295491,24000,24000,24000, 36 months,0.1677,852.93,D,D2,good samaritan hospital,6 years,RENT,70000,Verified,01/12/11,Fully Paid,n,  Borrower added on 12/08/11 > current working<br>,credit_card,2400,912xx,CA,12.57
1063187,0,01/02/06,2,NA,NA,6,0,8038,0.935,15,f,0,0,4928.049091,4928.05,4000,928.05,0,0,0,01/03/14,919.43,,01/12/14,1063187,1295480,4000,4000,4000, 36 months,0.1596,140.55,C,C5,harrahs las vegas,6 years,RENT,39000,Source Verified,01/12/11,Fully Paid,n,,debt_consolidation,debt freedom,891xx,NV,21.91
1062918,0,01/03/96,1,48,NA,8,0,1296,0.055,20,f,0,0,2152.95,2152.95,1481.95,526.55,0,144.45,1.49,01/03/13,134.18,,01/09/13,1062918,1295405,4000,4000,4000, 36 months,0.1269,134.18,B,B5,publix,6 years,RENT,30000,Not Verified,01/12/11,Charged Off,n,  Borrower added on 12/08/11 > remodeling our kitchen<br>,home_improvement,home improvement,323xx,FL,17.6
1062808,0,01/03/01,2,NA,NA,13,0,13538,0.521,34,f,0,0,13174.64159,13174.64,12375,799.64,0,0,0,01/12/12,8947.42,,01/10/15,1062808,1294683,12375,12375,12375, 36 months,0.0751,385,A,A3,NIHFCU,6 years,RENT,42000,Not Verified,01/12/11,Fully Paid,n,,debt_consolidation,Debt Consolidation,208xx,MD,28.06
1062471,0,01/11/02,1,NA,NA,10,0,10470,0.799,24,f,0,0,5425.96,5425.96,1318.27,3034.08,0,1073.61,10.48,01/10/12,591.09,,01/02/13,1062471,1294536,20000,20000,20000, 60 months,0.2089,539.84,F,F1,Independent Imaging,6 years,RENT,70000,Source Verified,01/12/11,Charged Off,n,"  Borrower added on 12/13/11 > I need help to pay off my credit cards fast and just have one monthly bill.<br><br>  Borrower added on 12/14/11 > As I mentioned before, I need the loan to consolidate my debt. I was going through a difficult situation and had to rely on credit cards. Now that situation has passed and I would like to pay them all off and stay with one monthly payment. I have a stable job in the medical field.<br>",debt_consolidation,Loan to pay off Credit cards,334xx,FL,16.63
1062414,0,01/05/04,2,NA,NA,9,0,19925,0.9,17,f,0,0,4056.05,4056.05,2907.06,1148.99,0,0,0,01/11/13,176.51,,01/05/16,1062414,1294277,5000,5000,5000, 36 months,0.1629,176.51,D,D1,Clarks co. North America,6 years,MORTGAGE,85000,Source Verified,01/12/11,Charged Off,n,,medical,Medical ,982xx,WA,22.81
1062401,0,01/12/06,3,NA,NA,8,0,6397,0.653,10,f,0,0,9758.77,9758.77,7421.06,1947.62,0,390.09,3.6617,01/04/14,335.45,,01/09/14,1062401,1294263,10000,10000,10000, 36 months,0.1269,335.45,B,B5,daja ventures,6 years,OWN,36000,Verified,01/12/11,Charged Off,n,  Borrower added on 12/08/11 > Thank you for inviting me to consider this loan application. This will help me consolidate my credit card balances. The payment is very affordable and the interest rate is acceptable. <br>,debt_consolidation,Debt Consolidation,917xx,CA,15.9
1062235,0,01/07/91,3,35,NA,16,0,1679,0.189,18,f,0,0,11857.13,11857.13,9600,2257.13,0,0,0,01/12/14,342.43,,01/03/16,1062235,1282333,9600,9600,9600, 36 months,0.1427,329.37,C,C2,,6 years,MORTGAGE,156000,Verified,01/12/11,Fully Paid,n,"  Borrower added on 12/02/11 > Loan to finish renovations on home<br><br> Borrower added on 12/02/11 > Loan to complete renovations on my home. Includes cabinetry, granite counter tops in kitchen, master bath, secondary bathroom, as well as carpentry work and painting.<br>Borrower added on 12/02/11 > Loan to finish renovations on home<br><br> Borrower added on 12/02/11 > Loan to complete renovations on my home. Includes cabinetry, granite counter tops in kitchen, master bath, secondary bathroom, as well as carpentry work and painting.<br> Borrower added on 12/09/11 > The home is my Primary Residence.<br>",home_improvement,Home Improvement Loan,322xx,FL,15.54
1062192,0,01/09/01,0,41,NA,10,0,7045,0.691,21,f,0,0,12323.67526,12323.68,10800,1523.68,0,0,0,01/02/13,7514.09,,01/05/16,1062192,1294043,10800,10800,10800, 36 months,0.1427,370.54,C,C2,usps,6 years,MORTGAGE,110000,Source Verified,01/12/11,Fully Paid,n,  Borrower added on 12/09/11 > I plan to pay off high interest credit cards. I always pay my bills on time. I have had the same job for 6 years.<br>,credit_card,Credit Card,891xx,NV,2.67
1061914,2,01/12/72,1,14,NA,14,0,13773,0.587,16,f,0,0,26376.52,26376.52,12893.89,13482.63,0,0,0,01/06/15,628.13,,01/04/16,1061914,1293952,22400,22400,22400, 60 months,0.2274,628.13,G,G1,JPMORGAN CHASE,6 years,RENT,85000,Not Verified,01/12/11,Charged Off,n,  Borrower added on 12/18/11 > I plan to use the funds for debt consolidation. I am a responsible financially inclined individual that's looking for a way to stabilize my current finances. The terms of this loan would save me hundreds of dollars a month.<br>,credit_card,credit_card Loan,104xx,NY,7.02
1061877,0,01/11/98,1,NA,NA,7,0,19548,0.908,17,f,0,0,23865.33884,23865.34,20000,3865.34,0,0,0,01/01/14,8269.74,,01/05/16,1061877,1293509,20000,20000,20000, 36 months,0.1349,678.61,C,C1,,6 years,RENT,75000,Verified,01/12/11,Fully Paid,n,,debt_consolidation,LC Loan,921xx,CA,22.38
1061842,0,01/12/93,0,26,91,9,1,24185,0.906,25,f,0,0,15413.51877,15382.69,12500,2913.52,0,0,0,01/04/13,10555.97,,01/06/14,1061842,1293470,20000,12500,12475, 60 months,0.1903,324.47,E,E2,Medicis,6 years,RENT,130000,Verified,01/12/11,Fully Paid,n,,debt_consolidation,Debt Consolidation,852xx,AZ,9.06
1061814,0,01/01/00,0,28,NA,6,0,6734,0.495,21,f,0,0,10869.33055,10869.33,10000,869.33,0,0,0,01/03/13,6743.26,,01/03/13,1061814,1293438,10000,10000,10000, 36 months,0.089,317.54,A,A5,Renal Support Network,6 years,RENT,24000,Verified,01/12/11,Fully Paid,n,,debt_consolidation,Start Fresh 2012,900xx,CA,7
1061547,0,01/12/95,2,73,NA,18,0,11036,0.811,32,f,0,0,14826.52754,14826.53,13000,1826.53,0,0,0,01/03/13,8660.39,,01/05/16,1061547,1293554,13000,13000,13000, 36 months,0.1349,441.1,C,C1,Bell and Howell,6 years,RENT,65000,Not Verified,01/12/11,Fully Paid,n,  Borrower added on 12/07/11 > to consolidate credit cards to pay off my debt faster.<br>,debt_consolidation,Pay of Credit Card Debt,939xx,CA,17.11
1061251,0,01/04/03,2,NA,NA,9,0,9194,0.297,14,f,0,0,5715.56,5715.56,5000,715.56,0,0,0,01/12/14,163.01,,01/12/14,1061251,1293059,5000,5000,5000, 36 months,0.089,158.77,A,A5,artisan digital,6 years,RENT,33000,Not Verified,01/12/11,Fully Paid,n,,medical,my dad,070xx,NJ,16.47
1061175,0,01/06/96,0,45,NA,10,0,4429,0.703,27,f,0,0,5800.47,5800.47,5000,800.47,0,0,0,01/12/14,168.86,,01/03/16,1061175,1292974,5000,5000,5000, 36 months,0.0991,161.13,B,B1,CUI INC,6 years,MORTGAGE,110000,Not Verified,01/12/11,Fully Paid,n,  Borrower added on 12/07/11 > Would prefer to pay my debts to average people because we are average. This would allow me to get out bed with big banks. Just trying to pay my debts and be treated with a little dignity along the way. <br>,debt_consolidation,Consolidating Big Bank Debt,970xx,OR,6.38
1060650,0,01/11/96,0,NA,NA,7,0,10264,0.558,17,f,0,0,14098.74781,14098.75,13200,898.75,0,0,0,01/12/12,9560.52,,01/11/15,1060650,1292415,13200,13200,13200, 36 months,0.079,413.04,A,A4,State of North Carolina,6 years,MORTGAGE,62500,Source Verified,01/12/11,Fully Paid,n,,debt_consolidation,Debt Consolidation,282xx,NC,12.06
1059785,0,01/08/04,0,NA,NA,10,0,6761,0.825,13,f,0,0,14112.24891,14112.25,12000,2112.25,0,0,0,01/03/13,8152.79,,01/03/16,1059785,1291412,12000,12000,12000, 36 months,0.1677,426.47,D,D2,Braemac CA,6 years,RENT,38000,Source Verified,01/12/11,Fully Paid,n,  Borrower added on 12/07/11 > Consolidating our debt to make life more manageable. Trying to become debt free for a better future.<br>,debt_consolidation,Credit card help,945xx,CA,21.32
1059486,0,01/11/98,1,NA,NA,14,0,13239,0.602,33,f,0,0,11043.04,11043.04,8359.5,2683.54,0,0,0,01/04/14,480.6,,01/05/16,1059486,1291111,12000,12000,12000, 36 months,0.1465,413.94,C,C3,Carefusion,6 years,RENT,54400,Verified,01/12/11,Charged Off,n,  Borrower added on 12/08/11 > I plan on using this money to pay off some of my higher interest rate credit cards. This is a part of my plan to have all my debt paid off in 3 years so I can purchase my first home. This amount I requested will give me the room to pay off my debt and also have a bit extra for saving. I am a responsible person and have a secure job. I appreciate your consideratation in funding my loan. Thank you.<br>,debt_consolidation,Debt Consolidation Loan,983xx,WA,13.81
1059433,0,01/03/98,0,NA,NA,7,0,5119,0.898,11,f,0,0,7315.9,7315.9,6400,915.9,0,0,0,01/12/14,209.64,,01/01/16,1059433,1291052,6400,6400,6400, 36 months,0.089,203.23,A,A5,big five sporting goods,6 years,OWN,23000,Source Verified,01/12/11,Fully Paid,n,  Borrower added on 12/07/11 > A great way to get caught up!!<br> Borrower added on 12/09/11 > I have a good secure job and the monthly payback amount will not be a problem. I'm very serious about becoming debt free in 3 years and will tell everyone I know about the lending club!!!<br> Borrower added on 12/09/11 > P.S.  And I know alot of people!!!<br>,debt_consolidation,deep breath,860xx,AZ,10.75
1059199,0,01/06/04,0,NA,NA,6,0,7947,0.993,22,f,0,0,4574.869999,4574.87,3600,974.87,0,0,0,01/01/15,4,,01/01/16,1059199,1290801,3600,3600,3600, 36 months,0.1629,127.09,D,D1,LEDIC Management Group,6 years,RENT,45000,Source Verified,01/12/11,Fully Paid,n,,major_purchase,Unexpected Expense,300xx,GA,22.05
1059100,0,01/11/00,1,NA,NA,7,0,23869,0.528,32,f,0,0,23700.21615,23674.17,22750,950.22,0,0,0,01/06/12,20092.09,,01/03/16,1059100,1290913,22750,22750,22725, 36 months,0.089,722.39,A,A5,Rettew Associates,6 years,OWN,65000,Verified,01/12/11,Fully Paid,n,,debt_consolidation,Consolidate,180xx,PA,10.45
1058943,0,01/09/05,0,NA,NA,12,0,16560,0.841,17,f,0,0,16887.8,16887.8,13200,3687.8,0,0,0,01/12/14,485.74,,01/05/16,1058943,1290741,13200,13200,13200, 36 months,0.1677,469.11,D,D2,HEALTHCARE PLUS CORP.,6 years,RENT,80952,Source Verified,01/12/11,Fully Paid,n,  Borrower added on 12/06/11 > To all investors thanmk you for funding this loan and paving the way to freeing myself from credit card debt. I have a stable job and always pay my debts on time. So be rest assured that any loan proceeds given will be paid on time.<br>,credit_card,Freddom from credit card,606xx,IL,12.79
1058814,0,01/12/03,0,NA,NA,8,0,14334,0.701,12,f,0,0,15972.0062,15972.01,12800,3172.01,0,0,0,01/05/14,748.58,,01/05/16,1058814,1290409,12800,12800,12800, 60 months,0.1349,294.47,C,C1,"Cydcor, Inc.",6 years,RENT,77000,Verified,01/12/11,Fully Paid,n,,debt_consolidation,Debt Consolidation Loan,606xx,IL,8.74
1058615,0,01/05/01,0,NA,NA,9,0,10576,0.572,20,f,0,0,13717.39,13717.39,12000,1717.39,0,0,0,01/12/14,392.81,,01/04/16,1058615,1290210,12000,12000,12000, 36 months,0.089,381.04,A,A5,Main Street Radiology,6 years,RENT,100000,Not Verified,01/12/11,Fully Paid,n,,debt_consolidation,Personal Consid,113xx,NY,12.94
1058564,0,01/07/71,0,NA,NA,8,0,8311,0.124,12,f,0,0,8765.414062,8765.41,8000,765.41,0,0,0,01/12/14,245.81,,01/12/14,1058564,1290157,8000,8000,8000, 36 months,0.0603,243.49,A,A1,TOGETHER WE GROW,6 years,RENT,57600,Source Verified,01/12/11,Fully Paid,n,"  Borrower added on 12/08/11 > Hello Lenders, im obtaining this loan to pay off my high interest auto loan. I am very good with my credit and making on-time payments. (purpose of homebuying) was a mistake. I hit the wrong button. Happy Holidays to all. Thank you.<br>",house,auto payoff,902xx,CA,11.52
1058556,0,01/01/00,0,NA,NA,7,0,10802,0.864,14,f,0,0,11572.82212,11572.82,10000,1572.82,0,0,0,01/02/14,3441.18,,01/02/16,1058556,1290346,10000,10000,10000, 36 months,0.1065,325.74,B,B2,anchor towing and marine transport,6 years,MORTGAGE,45500,Source Verified,01/12/11,Fully Paid,n,  Borrower added on 12/06/11 > The purpose of this loan is to pay off my credit card debt at a lower interest rate.Right now some of my rates are as high as 24% which makes it difficult to pay off. Making one payment a month at a lower rate would be extremely helpful to me.<br><br> Borrower added on 12/06/11 > The purpose of this loan is to pay off my credit card debt at a lower interest rate. Right now I'm paying an interest rate as high as 24% on some cards which makes it extremely difficult to pay off. I have asked the companies to lower the interest rate and they have refused. Making one payment a month at a lower rate would be much easier. <br>,credit_card,credit card payoff,349xx,FL,8.78
1058203,0,01/11/05,1,NA,NA,12,0,14966,0.668,24,f,0,0,18910.41748,18910.42,18000,910.42,0,0,0,01/09/12,2783.4,,01/10/12,1058203,1289783,18000,18000,18000, 36 months,0.0991,580.05,B,B1,Cumulus Media,6 years,MORTGAGE,70000,Verified,01/12/11,Fully Paid,n,"  Borrower added on 12/06/11 > I purchased my home in late 2009. While I was in the process of getting my mortgage, Congress changed the rules credit card companies follow, and as a result, they raised interest rates on virtually everyone, myself included. At the time, all of my credit cards except one went from having interest rates under 10% to having interest rates of over 20%. <br><br>I had the option to not accept the new, higher interest rates, close the credit cards and pay them off at the lower rates, and would have, but I was advised not to do so at the time, as it would have radically changed my credit picture and jeopardized the mortgage I was in the process of getting.<br><br>I will use this loan to pay off all of my credit card debt.<br><br>I am an excellent borrower as I have a spotless payment history with all of my lenders. I have never missed or even been late with a payment - ever - on anything. <br><br>I have an incredibly stable job, and I will have been with my current company for 7 years in January.<br><br>My car loan will be paid off in the next few months, which will lower my monthly expenses by almost the same amount as my monthly loan payment through Lending Club. I am currently paying far more than the monthly minimums toward this credit card debt - about $1,000 per month. My monthly payments for these two budget items alone will drop from just under $1,600 per month to under $600 per month.<br><br>Thank you for your consideration!<br>",credit_card,Credit Card Paydown,774xx,TX,22.51
1058186,0,01/10/97,2,NA,NA,7,0,29089,0.921,11,f,0,0,5017.91,5017.91,2130.09,2306.61,0,581.21,5.49,01/03/13,296.75,,01/08/13,1058186,1289765,12000,12000,12000, 60 months,0.1677,296.75,D,D2,Chenega Intergrated Systems,6 years,RENT,40000,Source Verified,01/12/11,Charged Off,n,,debt_consolidation,godsent,324xx,FL,18.66
